0		11.1807		6.0228		6.3608
1		11.4458		6.9296		6.6259
2		10.0616		4.4651		5.2418
3		11.4577		8.0020		6.6379
4		12.3680		6.2309		7.5481
5		6.1200		2.9336		1.3002
6		10.5446		5.9447		5.7247
7		12.4038		7.1850		7.5839
8		7.9955		3.4253		3.1756
9		20.0763		6.8689		15.2565
10		13.8835		6.7289		9.0637
11		10.2149		8.2292		5.3951
12		7.9645		3.7097		3.1446
13		11.5591		5.2923		6.7393
14		17.1910		7.3674		12.3711
15		14.6323		5.6492		9.8124
16		10.1516		7.6374		5.3318
17		17.3271		5.9736		12.5072
18		9.2398		4.3821		4.4199
19		5.4391		2.2945		0.6192
20		10.0187		5.3123		5.1989
21		12.4605		5.7757		7.6406
22		6.8200		2.5944		2.0001
23		5.8336		2.1394		1.0138
24		2.2458		1.8155		-2.5741
25		10.3881		6.1225		5.5682
26		10.8087		8.3864		5.9889
27		11.2160		7.6353		6.3962
28		7.5934		4.1760		2.7736
29		2.1630		1.4094		-2.6569
30		11.1371		8.1052		6.3173
31		3.7724		2.5047		-1.0475
32		8.0708		3.2385		3.2510
33		10.5912		4.8624		5.7714
34		10.6217		8.5567		5.8018
35		9.0951		5.2320		4.2753
36		11.0804		6.9375		6.2606
37		9.2997		3.7467		4.4799
38		5.2852		3.2200		0.4654
39		10.3990		8.5081		5.5792
40		6.8681		3.2290		2.0483
41		3.1881		2.2563		-1.6317
42		6.1120		3.2635		1.2922
43		2.6764		1.7360		-2.1435
44		3.6669		2.6161		-1.1529
45		4.3709		2.5400		-0.4489
46		5.1301		2.7014		0.3102
47		4.7761		4.1698		-0.0437
48		10.9478		7.6038		6.1279
49		8.4247		4.2284		3.6049
50		8.0838		7.4616		3.2640
51		9.3088		6.2449		4.4889
52		4.8229		2.6979		0.0031
53		4.1828		3.9405		-0.6371
54		8.3774		7.1255		3.5576
55		2.6216		2.6982		-2.1982
56		10.9431		3.9037		6.1232
57		13.7590		6.2339		8.9391
58		8.0610		7.4514		3.2412
59		6.6994		3.4289		1.8796
60		9.3524		5.2101		4.5325
61		12.5284		4.8289		7.7086
62		7.5450		3.5736		2.7252
63		8.7928		7.4116		3.9729
64		9.2082		3.4886		4.3884
65		3.1498		3.1069		-1.6700
66		3.2817		2.1983		-1.5382
67		3.6975		3.5175		-1.1223
68		5.9612		3.9520		1.1414
69		2.3345		2.2923		-2.4854
70		2.4809		2.0533		-2.3390
71		27.7049		25.0821		22.8851
72		15.5067		9.8550		10.6868
